file,start,speaker,text_clean,inv_type
fe_03_00031.txt,92.96,B,so what do you think of this saying,DEGREE
fe_03_00031.txt,318.0,B,so what else can we say about this,DEGREE
fe_03_00031.txt,343.04,B,so how did you get into this study,DEGREE
fe_03_00031.txt,346.26,B,how did you get into this study,EXCL
fe_03_00031.txt,443.64,B,what else can we say about this,EXCL
fe_03_00031.txt,592.67,B,so what are you doing for christmas,DEGREE
fe_03_00031.txt,630.39,A,how long have you been living in the u s,EXCL
fe_03_00032.txt,148.48,A,what do you do to prevent getting sick,EXCL
fe_03_00032.txt,446.48,B,so have you tried it,DEGREE
fe_03_00032.txt,607.52,B,so have you ever lived somewhere like warm,DEGREE
fe_03_00032.txt,677.5,B,so do you know anyone else who's sick at the s- right now,DEGREE
fe_03_00032.txt,701.72,B,so when you you get colds do you find that it usually lasts like a week [noise],DEGREE
fe_03_00033.txt,274.7,A,take anything and to tell the truth i i think i'm just the same as if as i was when i was you know,COMP
fe_03_00035.txt,102.15,B,so depressed so even if i do get sick i tend to shrug it off,DEGREE
fe_03_00035.txt,465.12,A,so what how do you cook them then,DEGREE
fe_03_00039.txt,64.74,A,what do i do,EXCL
fe_03_00039.txt,227.76,B,so what do you intend to do with it,DEGREE
fe_03_00039.txt,396.7,A,may see what the conversation leads to,OPT
fe_03_00039.txt,644.66,A,so what what do you do now,DEGREE
fe_03_00040.txt,195.72,B,so what do you think about,DEGREE
fe_03_00040.txt,244.65,B,what do people need to do to get healthier,EXCL
fe_03_00041.txt,452.15,B,what can i say about illness i don't really know anyone who's been really sick or anything,EXCL
fe_03_00041.txt,532.14,B,what kind of tea did you have,EXCL
fe_03_00042.txt,363.92,B,what do you study,EXCL
fe_03_00042.txt,505.42,B,what he's doing i'm cause,EXCL
fe_03_00044.txt,160.45,A,so have you heard that before,DEGREE
fe_03_00044.txt,166.03,A,so do you do anything to hum,DEGREE
fe_03_00044.txt,280.61,A,what what are you studying,EXCL
fe_03_00044.txt,340.64,A,so do you have finals i'm,DEGREE
fe_03_00045.txt,159.14,B,so do you did you get one this year,DEGREE
fe_03_00045.txt,339.64,A,so did your whole family get shots,DEGREE
fe_03_00047.txt,72.84,A,so but do you get headaches when you don't drink caffeine,DEGREE
fe_03_00048.txt,342.21,B,what would you do,EXCL
fe_03_00049.txt,11.25,A,so do you watch any reality television shows,DEGREE
