File,Sentence,Fronted Element,Fronted Element Type,Locative,Verb,Subject,Quotative,Discourse Function,Information Structure
text_acad_2010.txt,"The language of Channing 's entreaty , like that of Emerson 's rousing "" American Scholar , "" which it anticipates , is romantic , heuristic , hopelessly nationalistic : "" In going down into the secrets of his own mind , "" says Emerson of the true American scholar , "" he has descended into the secrets of all minds for themselves to realize that , within themselves , they contained all the divinity , power , creativity , and imagination needed for any task , particularly writing .","The language of Channing 's entreaty , like that of Emerson 's rousing "" American Scholar , "" which it anticipates , is romantic , heuristic , hopelessly nationalistic :",AdjP,Non-locative,says,Emerson of the true American scholar,Yes,Quotative,Other
text_acad_2010.txt,"The language of Channing 's entreaty , like that of Emerson 's rousing "" American Scholar , "" which it anticipates , is romantic , heuristic , hopelessly nationalistic : "" In going down into the secrets of his own mind , "" says Emerson of the true American scholar , "" he has descended into the secrets of all minds for themselves to realize that , within themselves , they contained all the divinity , power , creativity , and imagination needed for any task , particularly writing .",In going down into the secrets of his own mind,PP,Locative,says,Emerson of the true American scholar,Yes,Quotative,Other
text_acad_2010.txt,"Of course the shunning of affectation for the sake of effect is itself an affectation -- and central to an American argot . """,Of course,AdvP,Non-locative,is,itself,No,Discourse structuring,Other
text_acad_2010.txt,"Of course the shunning of affectation for the sake of effect is itself an affectation -- and central to an American argot . """,the shunning of affectation for the sake of effect,PP,Non-locative,is,itself,No,Discourse structuring,Other
text_acad_2010.txt,"It may be truly said that I write with my heart 's blood , "" said Stowe , author of the wildly popular and influential Uncle Tom 's Cabin . """,It may be truly said that I write with my heart 's blood,VP,Non-locative,said,"Stowe , author of the wildly popular and influential Uncle Tom 's Cabin",Yes,Quotative,Other
text_acad_2010.txt,"At no time was the issue of moral purpose more pressing than in the years following the bloody Civil War , whose massive casualties included the idealism ( and messianism ) of the early part of the century .",At no time,PP,Non-locative,was,"the issue of moral purpose more pressing than in the years following the bloody Civil War , whose massive casualties included the idealism ( and messianism ) of the early part of the century",No,Discourse structuring,Other
text_acad_2010.txt,"Each novel has a law of its own , which it seems to create for itself , "" said Howells , who did not always practice what he preached . ""","Each novel has a law of its own , which it seems to create for itself",VP,Non-locative,said,"Howells , who did not always practice what he preached",Yes,Quotative,Other
text_acad_2010.txt,""" Preaching is fatal to art in literature , "" said Crane .",Preaching is fatal to art in literature,AdjP,Non-locative,said,Crane,Yes,Quotative,Other
text_acad_2010.txt,"True , Hearn left the country , as did Crane and Harold Frederic and James and Constance Fenimore Woolson and Wharton .","True , Hearn left the country , as",AdjP,Locative,did,Crane and Harold Frederic and James and Constance Fenimore Woolson and Wharton,No,Scene-setting,Other
text_acad_2010.txt,"Nothing becomes America like the leaving of it ; and , said the American wit Thomas Gold Appleton , "" Good Americans , when they die , go to Paris . ""","Nothing becomes America like the leaving of it ; and ,",PP,Non-locative,said,the American wit Thomas Gold Appleton,Yes,Quotative,Other
text_acad_2010.txt,"If that 's what he means , "" says the student to the poetry teacher , "" why does n't he just say it ? """,If that 's what he means,Other,Non-locative,says,the student to the poetry teacher,Yes,Quotative,Other
text_acad_2010.txt,""" If God is real , "" says the parishioner to the preacher , "" why does n't he simply storm into our lives and convince us ?",If God is real,AdjP,Non-locative,says,the parishioner to the preacher,Yes,Quotative,Other
text_acad_2010.txt,"GLIMMERINGS are what the soul 's composed of , "" writes the Irish poet Seamus Heaney , an interesting -- and , I think , accurate -- thought , if the word glimmerings is read as both literal and metaphorical : the soul is not simply the agent that does the seeing ( the entity to which metaphorical glimmerings are given ) seen ( the world that glimmers ) ; or , perhaps more accurately , it is the verb that makes an exchange between the self and reality , or the self and other selves , possible .",GLIMMERINGS are what the soul 's composed of,Other,Non-locative,writes,"the Irish poet Seamus Heaney ,",No,Discourse structuring,Other
text_acad_2010.txt,"GLIMMERINGS are what the soul 's composed of , "" writes the Irish poet Seamus Heaney , an interesting -- and , I think , accurate -- thought , if the word glimmerings is read as both literal and metaphorical : the soul is not simply the agent that does the seeing ( the entity to which metaphorical glimmerings are given ) seen ( the world that glimmers ) ; or , perhaps more accurately , it is the verb that makes an exchange between the self and reality , or the self and other selves , possible .",GLIMMERINGS are what the soul 's composed of,Other,Non-locative,writes,an interesting,No,Discourse structuring,Other
text_acad_2010.txt,"I think there is no light in the world / but the world , "" writes George Oppen .",I think there is no light in the world / but the world,VP,Non-locative,writes,George Oppen,No,Discourse structuring,Other
text_acad_2010.txt,"Ellickson other end of the line , Lester waited too , "" Boy , is that a good word .","Ellickson other end of the line , Lester waited too , "" Boy ,",AdvP,Non-locative,is,that,No,Discourse structuring,Other
text_acad_2010.txt,"Start with this : How old is he ? """,Start with this,VP,Non-locative,is,he,No,Discourse structuring,Other
text_acad_2010.txt,"Start with this : How old is he ? """,How old,AdjP,Non-locative,is,he,No,Discourse structuring,Other
text_acad_2010.txt,"You know I 'm sober now -- you know that , do n't you ?","You know I ' m sober now -- you know that ,",AdvP,Non-locative,do,you,No,Discourse structuring,Other
text_acad_2010.txt,""" Oh , Jesus , "" Ellickson said , "" ca n't you -- "" "" We should talk soon connection .","Oh , Jesus",PP,Non-locative,ca,you,No,Discourse structuring,Other
text_acad_2010.txt,""" Oh , Jesus , "" Ellickson said , "" ca n't you -- "" "" We should talk soon connection .",""" Oh , Jesus , "" Ellickson said , """,Other,Non-locative,ca,you,No,Discourse structuring,Other
text_acad_2010.txt,"After so fierce a challenge to the proponents of a godless universe , what are her arguments to the contrary ?",After so fierce a challenge to the proponents of a godless universe,AdjP,Non-locative,are,her arguments to the contrary,No,Comparative,Other
text_acad_2010.txt,"Death lists are plastered to police stations-the named cops are doomed for refusing cartel bribes -- with the assassins ' polite addendum , "" Thank Jurez , "" writes Bowden , struggling to make sense of the swirling bloodshed in an amnesiac city terrified by lethal reprisals . ""","Death lists are plastered to police stations - the named cops are doomed for refusing cartel bribes -- with the assassins ' polite addendum , "" Thank Jurez , """,PP,Non-locative,writes,Bowden,No,Discourse structuring,Other
text_acad_2010.txt,"Violence is now woven into the very fabric of the community and has no single cause and no single motive and no on-off button , "" writes Bowden . """,Violence is now woven into the very fabric of the community and has no single cause and no single motive and no on - off button,VP,Non-locative,writes,Bowden,No,Discourse structuring,Other
text_acad_2010.txt,"But it was one of those mornings when everything was bathed in metaphor , so the idea of a child of the transcendentalists leaving felt apt , as did that","But it was one of those mornings when everything was bathed in metaphor , so the idea of a child of the transcendentalists leaving felt apt , as",Other,Non-locative,did,that,No,Discourse structuring,Other
text_acad_2010.txt,"In between is the Central Station , where Marlow spends the most time , and where we get our best look at bureaucracy in action and the kind of people who succeed in it .",In between,PP,Locative,is,"the Central Station , where Marlow spends the most time , and where we get our best look at bureaucracy in action and the kind of people who succeed in it",No,Scene-setting,Other
text_acad_2010.txt,"And if you still think God made us , "" writes Greenberg , "" there 's a neurochemical reason for that too . """,if you still think God made us,Quotative,Non-locative,writes,Greenberg,No,Discourse structuring,Other
text_acad_2010.txt,"Who can doubt that even when we are not thinking , when we are merely functioning in our new world , we are premising that world very differently than did our parents or the many generations preceding them ?","Who can doubt that even when we are not thinking , when we are merely functioning in our new world , we are premising that world very differently than",Other,Non-locative,did,our parents or the many generations preceding them,No,Comparative,Other
text_acad_2010.txt,"Did man invent narrative or , owing to whatever predispositions in his makeup a coming into narrative -- is it part of the nature of human consciousness to seek and create narrative , which is to say meaning ?","Did man invent narrative or , owing to whatever predispositions in his makeup a coming into narrative --",Other,Locative,is,it,No,Scene-setting,Other
text_acad_2010.txt,THE QUESTION comes up for me insistently : Where am I when I am reading a novel ?,THE QUESTION comes up for me insistently,VP,Non-locative,am,I,No,Discourse structuring,Other
text_acad_2010.txt,"Right here , right now , who is she ?",Right here,AdvP,Locative,is,she,No,Scene-setting,Other
text_acad_2010.txt,"Right here , right now , who is she ?",right now,AdvP,Locative,is,she,No,Scene-setting,Other
text_acad_2010.txt,"I knew the voice , felt it , before I could name it , deliberate , coming from back in the throat , elongating the vowels .","I knew the voice ,",Other,Non-locative,felt,it,No,Discourse structuring,Other
text_acad_2010.txt,"By Mike Rose Mike Rose , a faculty member of the UCLA Graduate School of Education and Information Studies , is the author of Why School ? :","By Mike Rose Mike Rose , a faculty member of the UCLA Graduate School of Education and Information Studies",PP,Locative,is,the author of Why School,No,Scene-setting,Other
text_acad_2010.txt,"Although it may be a form of arrogance to attempt the management of one 's own death , is it better to surrender that management to the arrogance of someone else ?",Although it may be a form of arrogance to attempt the management of one 's own death,Other,Non-locative,is,it,No,Discourse structuring,Other
text_acad_2010.txt,"No longer is he a chaste Italian craftsman whose devotion to God is corroded by tyrannical jealousy , but an ineffectual pushover whose petty sexual frustrations threaten his lust for retribution .",No longer,AdvP,Non-locative,is,he,No,Discourse structuring,Other
text_acad_2010.txt,"Anything can happen , "" says the poet C. D. Wright , "" in the strange cities of the mind . """,Anything can happen,VP,Non-locative,says,the poet C. D. Wright,Yes,Quotative,Other
text_acad_2010.txt,"HM 's case , "" writes neurologist Oliver Sacks in Musicophilia : Tales of Music and the Brain , "" made it clear that two very different sorts of memory could exist : a conscious memory of events ( episodic memory ) and an unconscious memory for procedures -- and that such procedural memory is unimpaired in amnesia .","HM 's case , "" writes neurologist Oliver Sacks in Musicophilia : Tales of Music and the Brain , """,Other,Non-locative,made,a conscious memory of events ( episodic memory ) and an unconscious memory for procedures -- and that such procedural memory is unimpaired in amnesia,No,Discourse structuring,Other
text_acad_2010.txt,"On offer in February "" from Hong reads , are Chinese New Year in Shanghai , Huayi , Chinese Festival of Arts in Singapore , The Hong Kong Arts Festival , Fantasporto , Oporte International Film Festival , Caravaggio in London , Melbourne International Music Festival , Black Truffle Fair in Perugia , and in March Kurt Weill Festival in Dessau , Tango Festival in Buenos Aires , Brutality of Fact in Paris , Salzburg Easter Festival , and Las Fallas in Valencia .","On offer in February "" from Hong reads",PP,Locative,are,"Chinese New Year in Shanghai , Huayi , Chinese Festival of Arts in Singapore , The Hong Kong Arts Festival , Fantasporto , Oporte International Film Festival , Caravaggio in London , Melbourne International Music Festival , Black Truffle Fair in Perugia",No,Scene-setting,Other
text_acad_2010.txt,The point that I am trying to make here is that under the globalizing practice of eliminating the charisma of uniqueness ( cf.,The point that I am trying to make here,Other,Non-locative,is,that,No,Discourse structuring,Other
text_acad_2010.txt,"Stephen Norrington 1998 ) hunts white people , as does Dr. Robert Neville ( Will Smith ) in the horror/scifi/ action crossover film I am Legend ( dir .","Stephen Norrington 1998 ) hunts white people ,",Other,Non-locative,does,Dr. Robert Neville ( Will Smith ),No,Discourse structuring,Other
text_acad_2010.txt,"Why then , one blogger who is enthusiastic about this onscreen diversity queries , are Neo ( Keanu Reeves ) and Trinity ( Carrie-Anne Moss )",Why then,AdvP,Non-locative,are,Neo,No,Discourse structuring,Other
text_acad_2010.txt,"Why then , one blogger who is enthusiastic about this onscreen diversity queries , are Neo ( Keanu Reeves ) and Trinity ( Carrie-Anne Moss )",one blogger who is enthusiastic about this onscreen diversity queries,Other,Non-locative,are,Neo,No,Discourse structuring,Other
text_acad_2010.txt,"Why then , one blogger who is enthusiastic about this onscreen diversity queries , are Neo ( Keanu Reeves ) and Trinity ( Carrie-Anne Moss )",Why then,AdvP,Non-locative,are,( Keanu Reeves ) and Trinity ( Carrie - Anne Moss,No,Discourse structuring,Other
text_acad_2010.txt,"Why then , one blogger who is enthusiastic about this onscreen diversity queries , are Neo ( Keanu Reeves ) and Trinity ( Carrie-Anne Moss )",one blogger who is enthusiastic about this onscreen diversity queries,Other,Non-locative,are,( Keanu Reeves ) and Trinity ( Carrie - Anne Moss,No,Discourse structuring,Other
text_acad_2010.txt,"Smith , like the virus he is ( a problem , as we know from films like I am Legend and Blade , that white men tend to have ) , has that is its bustling , albeit monoracial , diversity ; so too goes its pretences at reality .",like the virus he is ( a problem,PP,Non-locative,goes,its pretences,No,Comparative,Other
text_acad_2010.txt,"Smith , like the virus he is ( a problem , as we know from films like I am Legend and Blade , that white men tend to have ) , has that is its bustling , albeit monoracial , diversity ; so too goes its pretences at reality .","Smith , like the virus he is ( a problem , as we know from films like I am Legend and Blade , that white men tend to have ) , has that is its bustling , albeit monoracial , diversity",Other,Non-locative,goes,its pretences,No,Comparative,Other
text_acad_2010.txt,"Smith , like the virus he is ( a problem , as we know from films like I am Legend and Blade , that white men tend to have ) , has that is its bustling , albeit monoracial , diversity ; so too goes its pretences at reality .",so too,AdvP,Non-locative,goes,its pretences,No,Comparative,Other
text_acad_2010.txt,"What one sees , then , when The Oracle , a black woman , is near are other people of color not exclusively but obviously .",What one sees,Other,Non-locative,are,other people of color,No,Discourse structuring,Other
text_acad_2010.txt,"What one sees , then , when The Oracle , a black woman , is near are other people of color not exclusively but obviously .","when The Oracle , a black woman , is near",AdjP,Non-locative,are,other people of color,No,Discourse structuring,Other
text_acad_2010.txt,"There is another racial world to these films , that inside the matrix , and not only are the people therein "" completely , deathly white "" -- like Neo and Trinity -- but their whiteness is reflective of their cadaveresque existence .",There is another racial world to these films,VP,Locative,are,"the people therein "" completely , deathly white """,No,Scene-setting,Other
text_acad_2010.txt,"There is another racial world to these films , that inside the matrix , and not only are the people therein "" completely , deathly white "" -- like Neo and Trinity -- but their whiteness is reflective of their cadaveresque existence .","inside the matrix ,",PP,Locative,are,"the people therein "" completely , deathly white """,No,Scene-setting,Other
text_acad_2010.txt,"There is another racial world to these films , that inside the matrix , and not only are the people therein "" completely , deathly white "" -- like Neo and Trinity -- but their whiteness is reflective of their cadaveresque existence .",not only,AdvP,Non-locative,are,"the people therein "" completely , deathly white """,No,Scene-setting,Other
text_acad_2010.txt,"The essence of the beast is that its bite , though it may be used to kill its prey , is equally a weapon of transformation .",The essence of the beast,PP,Locative,is,that,No,Scene-setting,Other
text_acad_2010.txt,"More fundamentally , these films seem to be asking , albeit deep in the interstices of plot and characterization : What is it to be a human being in the world ?","More fundamentally , these films seem to be asking , albeit deep in the interstices of plot and characterization",VP,Non-locative,is,it,No,Comparative,Other
text_acad_2010.txt,Agent Gibbon 's ( Samuel Jackson ) in XXX spreads his convictions via rational argument as does Morgan Freeman in almost every film he has ever starred in regardless of whether he kills white people ( which he sometimes does ) in the process .,Agent Gibbon 's ( Samuel Jackson ) in XXX spreads his convictions via rational argument as,PP,Non-locative,does,Morgan Freeman,No,Discourse structuring,Other
text_acad_2010.txt,"Despite the fact that the enemy remains white , shifting only from Eastern European mobsters in the first film to evil US bureaucrats and politicians in the second , the hero becomes blacker , as does the world and the values he defends .","Despite the fact that the enemy remains white , shifting only from Eastern European mobsters in the first film to evil US bureaucrats and politicians in the second , the hero becomes blacker , as",Other,Locative,does,the world and the values he defends,No,Scene-setting,Other
text_acad_2010.txt,n5 But what commentators like Butler miss -- and she has contributed much to this position -- is that sometimes and in some places -- far more than Butler seems to imagine -- it is precisely the reflex assumption that anti-Semitism is a way of silencing criticism of Israel that makes it difficult to take anti-Semitism seriously .,n5 But what commentators like Butler miss -- and she has contributed much to this position,VP,Locative,is,that,No,Scene-setting,Other
text_acad_2010.txt,"At the same time , a different sort of cumulative effect -- that of characterizing criticism of Israel as anti-Semitism , coupled with the coincidental timing of those characterizations with some of Israel 's more controversial policies and activities -- feeds the presumption that anti-Semitism is an anti-Semitism is a trump card for Israel 's supporters ( as if to say , "" no matter what you say , if everyone else is saying it too , it amounts to anti-Semitism "" ) .",At the same time,PP,Locative,feeds,the presumption that anti - Semitism is an anti - Semitism is a trump card for Israel 's supporters,No,Scene-setting,Other
text_acad_2010.txt,"At the same time , a different sort of cumulative effect -- that of characterizing criticism of Israel as anti-Semitism , coupled with the coincidental timing of those characterizations with some of Israel 's more controversial policies and activities -- feeds the presumption that anti-Semitism is an anti-Semitism is a trump card for Israel 's supporters ( as if to say , "" no matter what you say , if everyone else is saying it too , it amounts to anti-Semitism "" ) .",a different sort of cumulative effect --,PP,Non-locative,feeds,the presumption that anti - Semitism is an anti - Semitism is a trump card for Israel 's supporters,No,Scene-setting,Other
text_acad_2010.txt,"At the same time , a different sort of cumulative effect -- that of characterizing criticism of Israel as anti-Semitism , coupled with the coincidental timing of those characterizations with some of Israel 's more controversial policies and activities -- feeds the presumption that anti-Semitism is an anti-Semitism is a trump card for Israel 's supporters ( as if to say , "" no matter what you say , if everyone else is saying it too , it amounts to anti-Semitism "" ) .","that of characterizing criticism of Israel as anti - Semitism , coupled with the coincidental timing of those characterizations with some of Israel 's more controversial policies and activities --",PP,Non-locative,feeds,the presumption that anti - Semitism is an anti - Semitism is a trump card for Israel 's supporters,No,Scene-setting,Other
text_acad_2010.txt,"n15 "" To some , criticism of Israel is itself a part of the ' new anti-Semitism . '","n15 "" To some",PP,Non-locative,is,itself,No,Discourse structuring,Other
text_acad_2010.txt,"n15 "" To some , criticism of Israel is itself a part of the ' new anti-Semitism . '",criticism of Israel,PP,Non-locative,is,itself,No,Discourse structuring,Other
text_acad_2010.txt,"Even more burdensome is the fact that all around anthropology , other disciplines wield this concept ( and the associated claim to investigate it via ethnography ) with abandon .",Even more burdensome,AdjP,Non-locative,is,"the fact that all around anthropology , other disciplines wield this concept ( and the associated claim to investigate it via ethnography ) with abandon",No,Comparative,Other
text_acad_2010.txt,Then one should ask : why is so little of it any good ?,Then one should ask : why,AdvP,Non-locative,is,so little of it,No,Discourse structuring,Other
text_acad_2010.txt,Or to put it differently : why are both computers and cultures everywhere today ?,Or to put it differently,VP,Non-locative,are,both computers and cultures,No,Comparative,Other
text_acad_2010.txt,"Science fiction has disserved us , "" wrote Philip Agre presciently . """,Science fiction has disserved us,VP,Non-locative,wrote,Philip Agre,No,Discourse structuring,Other
text_acad_2010.txt,"Even more important to raid success than these add-ons however , is PA 's use of a Ventrillo ( or "" Vent "" ) server .",Even more important to raid success than these add - ons however,AdjP,Non-locative,is,"PA 's use of a Ventrillo ( or "" Vent "" ) server",No,Evaluative,Other
text_acad_2010.txt,But what exactly is that connection ?,what exactly,AdvP,Non-locative,is,that,No,Discourse structuring,Other
text_acad_2010.txt,"One online director , although himself a proponent of relaxing the restrictions on content generation and especially the budgetary limits , admitted that with the brand loyalty and in the world only to the BBC in terms of funding ) , they could rather easily dominate the German language internet news market were that their intention ( although he also emphasized that market dominance was never an organizational priority for German public broadcasting ) .","One online director , although himself a proponent of relaxing the restrictions on content generation and especially the budgetary limits , admitted that with the brand loyalty and in the world only to the BBC in terms of funding ) , they could rather easily dominate the German language internet news market",Other,Non-locative,were,that,No,Discourse structuring,Other
text_acad_2010.txt,"Contrary to much later wisdom , with Ideologie Marx meant not just the deformations of false and class consciousness and not just the "" taken for granted "" assumptions structuring knowledge ( cf.","Contrary to much later wisdom , with Ideologie Marx meant not just the deformations of false and class consciousness and not just the """,PP,Non-locative,taken,"granted "" assumptions structuring knowledge ( cf",No,Discourse structuring,Other
text_acad_2010.txt,"Many of our treatments lines are so technologically defunct that the comparisons are not against the gold-standard but the treatment used in SUS , "" said Pereira , the Ministry of Health official responsible for making recommendations to the Minister .",Many of our treatments lines are so technologically defunct that the comparisons are not against the gold - standard but the treatment used in SUS,AdjP,Non-locative,said,"Pereira , the Ministry of Health official responsible for making recommendations to the Minister",Yes,Quotative,Other
text_acad_2010.txt,"When you have projects where you believe in the drug , it 's very good , "" said Amaral , who had worked in a public psychiatric hospital before coming to Health Net .","When you have projects where you believe in the drug , it 's very good",AdjP,Non-locative,said,"Amaral , who had worked in a public psychiatric hospital before coming to Health Net",Yes,Quotative,Other
text_acad_2010.txt,"As a result , neither is it possible to independently assess the quality of such analyses nor to determine to what extent the Minister relies on such analyses to inform incorporation decisions .",As a result,PP,Non-locative,is,it,No,Discourse structuring,Other
text_acad_2010.txt,But the questions remain : how are young women able to manage their self-presentation for men as they make the shift from single to married ; how is the transformation experienced by women once they are married ; and how is all this experienced by men ?,But the questions remain : how,Other,Non-locative,are,young women able to manage their self - presentation for men as they make the shift from single to married,No,Discourse structuring,Other
text_acad_2010.txt,But the questions remain : how are young women able to manage their self-presentation for men as they make the shift from single to married ; how is the transformation experienced by women once they are married ; and how is all this experienced by men ?,But the questions remain : how are young women able to manage their self - presentation for men as they make the shift from single to married ; how,Other,Non-locative,is,the transformation experienced by women once they are married,No,Discourse structuring,Other
text_acad_2010.txt,"A locally-owned , independent business is defined as follows : "" private , employee , community , or cooperative ownership ; owned in majority by area resident(s) ; full decision-making function for the business lies with its owner(s) ; and no more than six outlets , bases of operation lie within a single state "" ( AMIBA 2009 ) .","A locally - owned , independent business is defined as",VP,Non-locative,follows,""" private , employee , community , or cooperative ownership ; owned in majority by area resident(s )",No,Discourse structuring,Other
text_acad_2010.txt,"I think you have to turn around and think of the gates as defense mechanisms and not weaknesses , "" says Ghezzi . """,I think you have to turn around and think of the gates as defense mechanisms and not weaknesses,VP,Non-locative,says,Ghezzi,Yes,Quotative,Other
text_acad_2010.txt,"The technology of warfare developed quickly , much like in the rest of the world , but then remained stable for a very , very long period , "" says Ghezzi .","The technology of warfare developed quickly , much like in the rest of the world , but then remained stable for a very , very long period",VP,Non-locative,says,Ghezzi,Yes,Quotative,Other
text_acad_2010.txt,"You are going to have to store a lot of water out there if you are going to garrison Chankillo , "" says John Topic , an expert on Andean warfare at Trent University in Ontario , Canada .",You are going to have to store a lot of water out there if you are going to garrison Chankillo,VP,Non-locative,says,"John Topic , an expert on Andean warfare at Trent University in Ontario , Canada",Yes,Quotative,Other
text_acad_2010.txt,"It does n't seem as though the control of territory is the actual purpose , "" says Ghezzi . """,It does n't seem as though the control of territory is the actual purpose,VP,Non-locative,says,Ghezzi,Yes,Quotative,Other
text_acad_2010.txt,"In much later periods in the Andes , the control of populations was far more important than the control of any other resource , "" says Ghezzi .","In much later periods in the Andes , the control of populations was far more important than the control of any other resource",PP,Locative,says,Ghezzi,Yes,Quotative,Other
text_acad_2010.txt,"The battle is a representation of who has a stronger god , and the one who has the stronger god then has the right to dominate the losing society , "" says Ghezzi .","The battle is a representation of who has a stronger god , and the one who has the stronger god then has the right to dominate the losing society",Other,Locative,says,Ghezzi,Yes,Quotative,Other
text_acad_2010.txt,"If you win , your group is better , "" says Topic . ""","If you win , your group is better",AdjP,Non-locative,says,Topic,Yes,Quotative,Other
text_acad_2010.txt,"That flux of energy requires death , "" says Topic .",That flux of energy requires death,VP,Non-locative,says,Topic,Yes,Quotative,Other
text_acad_2010.txt,"People are participating in warfare , in part , to reproduce the world , "" says Topic .","People are participating in warfare , in part , to reproduce the world",VP,Non-locative,says,Topic,Yes,Quotative,Other
text_acad_2010.txt,"Perhaps it was n't necessary to have a confrontation of two armies , "" says Ghezzi . """,Perhaps it was n't necessary to have a confrontation of two armies,AdvP,Locative,says,Ghezzi,Yes,Quotative,Other
text_acad_2010.txt,"Destroying a ceremonial site may have been a way of destroying the legitimacy of a group , "" says Elizabeth Arkush , an Andean warfare expert at the University of Virginia .",Destroying a ceremonial site may have been a way of destroying the legitimacy of a group,Other,Non-locative,says,"Elizabeth Arkush , an Andean warfare expert at the University of Virginia",Yes,Quotative,Other
text_acad_2010.txt,"If you had good luck that deity , or huaca , might be on your side and there was no point in destroying it , "" says Topic . ""","If you had good luck that deity , or huaca , might be on your side and there was no point in destroying it",Quotative,Locative,says,Topic,Yes,Quotative,Other
text_acad_2010.txt,"The site appears to be a principal center of culture in the region , "" says Sundara .",The site appears to be a principal center of culture in the region,VP,Locative,says,Sundara,Yes,Quotative,Other
text_acad_2010.txt,"PHOTO ( COLOR ) : "" There seems to be a logic to the flow of the site , "" says Bauer . ""","PHOTO ( COLOR ) : "" There seems to be a logic to the flow of the site",VP,Non-locative,says,Bauer,Yes,Quotative,Other
text_acad_2010.txt,"These are not just isolated cemeteries , "" says Bauer , "" they are part of a productive landscape as well . """,These are not just isolated cemeteries,AdvP,Non-locative,says,Bauer,Yes,Quotative,Other
text_acad_2010.txt,"With its focus on how local children the project is revealing an often overlooked aspect of society and showing that "" Barbie dolls and bubble gum wrappers can be part of archaeology , too , "" says Eiselt .","With its focus on how local children the project is revealing an often overlooked aspect of society and showing that "" Barbie dolls and bubble gum wrappers can be part of archaeology , too",VP,Non-locative,says,Eiselt,Yes,Quotative,Other
text_acad_2010.txt,"THE ARCHAEOLOGY OF CHILDHOOD is a very new field , "" says Jane Eva Baxter of DePaul University 's Department of Anthropology , one of the few experts on the subject .",THE ARCHAEOLOGY OF CHILDHOOD is a very new field,Other,Non-locative,says,"Jane Eva Baxter of DePaul University 's Department of Anthropology , one of the few experts on the subject",Yes,Quotative,Other
text_acad_2010.txt,"But concentrating on children "" forces us to question our own assumptions about the past in ways that adult archaeology does n't , "" says Baxter .","But concentrating on children "" forces us to question our own assumptions about the past in ways that adult archaeology does n't",VP,Non-locative,says,Baxter,Yes,Quotative,Other
text_acad_2010.txt,"They brought new songs and games and toys to occupy children during recess , "" says Eiselt .",They brought new songs and games and toys to occupy children during recess,VP,Non-locative,says,Eiselt,Yes,Quotative,Other
