type,sentence,fronted_constituent,verb,subject,constituent_type,is_locative,confidence,validation_reasons,paragraph_index,sentence_index,file
complex_pp_inversion,"It is therefore perhaps the kindest death that the Inuit , who lacked modern drugs , could have inflicted on the elderly . <p> In those cases in which there are genuine ethical differences between ourselves and some other culture , it hardly follows that we should be tolerant of those differences .",In those cases in which there,are,that we should be tolerant of those differences,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,21,135,text_acad_2000.txt
complex_pp_inversion,"To the extent to which moral philosophy is an effort to reveal an objective moral order ( moral realism ) , then it rests upon a mistake . <p> Posner calls himself a relativist : "" morality is local ... there are no interesting moral universals "" ( 6 ) .",To the extent to which moral philosophy,is,a mistake,PP (Complex Prepositional Phrase),False,high,Subject starts with determiner; Common inversion verb,22,17,text_acad_2000.txt
numeric_inversion,One of the aims of contemporary moral philosophy is to discover some method or style of argument that can help people resolve moral disagreements .,One of the aims of contemporary moral philosophy,is,that can help people resolve moral disagreements,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,22,51,text_acad_2000.txt
numeric_inversion,"If you , dear reader , also share these preferences , you may find Rawls 's argument cogent . <p> One principle is : "" The aim of a just war waged by a decent democratic society is a just and lasting peace between peoples , especially with its present enemy "" ( 565 ) .",One principle,is,a just war waged by a decent democratic society is a just and lasting peace between peoples,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,22,140,text_acad_2000.txt
coordinated_inversion,In many cases the best the judge can do for the present and the future is to insist that breaks with the past be duly considered .,In many cases the best the judge can do for the present and the future,is,that breaks with the past be duly considered,Coordinated Structure,True,high,Subject starts with determiner; Common inversion verb,22,180,text_acad_2000.txt
coordinated_inversion,"In such a case the only difference between the positivist judge and the pragmatic judge is that the latter lacks reverence for the past , a felt duty of continuity with the past .",In such a case the only difference between the positivist judge and the pragmatic judge,is,a felt duty of continuity with the past,Coordinated Structure,True,high,Subject starts with determiner; Common inversion verb,22,181,text_acad_2000.txt
complex_pp_inversion,In both cases the key transition to a new way of thinking was the assumption that it was not just particular wrongs that needed rectifying .,In both cases the key transition to a new way of thinking was the assumption that it,was,that needed rectifying,PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,24,41,text_acad_2000.txt
complex_pp_inversion,"In revealing the extraordinary lengths to which one college 's administration was willing to go to use race as a basis for hiring , it may be indicative of practices prevalent in American higher education .",In revealing the extraordinary lengths to which one college 's administration,was,a basis for hiring,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,25,1,text_acad_2000.txt
numeric_inversion,"Two conversations with another faculty member on the screening committee indicated that race was the key factor in this search , just as it had been in the last search . <p> Sensing that the position was slipping away for the second year and for the same reason , I decided to write to the search subcommittee members who were about to convene to decide between Candidate #2 and me . ( I had learned that Candidate #1 , although a finalist , was not being considered because of his lack of the Ph.D . degree or ABD status ; of course , even his status as a finalist raises serious questions about the subcommittee 's criteria . ) My letter included the following points : ( 1 ) Candidate #2 's credentials were being investigated . ( 2 ) The two degrees Candidate #2 did hold were @ @ @ @ @ @ @ @ @ @ 3 ) Candidate #2 's resume did not indicate where he earned his three doctorates. ( 4 ) My credentials were superior . <p> Before the investigation had concluded , Candidate #2 removed his name from consideration .",Two conversations with another faculty member on the screening committee indicated that race,was,this search,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,25,69,text_acad_2000.txt
complex_pp_inversion,"Although this search tends to be more straightforward in the hard sciences than in the humanities , there is the possibility of error in all disciplines , and disagreements are therefore expected even in the "" hardest "" of sciences . ( This sort of hard-science dispute is exemplified , for instance , by Einstein 's disagreement with such younger colleagues as Heisenberg and Bohr @ @ @ @ @ @ @ @ @ @ ) <p> To argue that the search for truth is the university 's central mission is not to say that it is the only mission .",To argue that the search for truth,is,that it is the only mission,PP (Complex Prepositional Phrase),False,high,Subject starts with determiner; Common inversion verb,26,3,text_acad_2000.txt
numeric_inversion,"Yet it is essential for the healthy functioning of any university that these sorts of evaluations are carried out conscientiously , and that the results of the evaluations not be arbitrary . <p> One way of summarizing the claim about judgments of academic performance is to state that it is reasonable to insist that the judgments be fair .",One way of summarizing the claim about judgments of academic performance,is,that it is reasonable to insist that the judgments be fair,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,26,36,text_acad_2000.txt
numeric_inversion,One way of putting this is to say that all administrative functions ( from those of the cleaning staff to those of the university 's president ) have to be viewed as serving the fundamental academic function .,One way of putting this,is,that all administrative functions ( from those of the cleaning staff to those of the university 's president ) have to be viewed as serving the fundamental academic function,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,26,43,text_acad_2000.txt
numeric_inversion,"One rather complex area is that of special services , where students are diagnosed as having a mental disability ( the most popular current label is "" learning disability "" or LD ) , and are then given more favorable conditions for tests where they are competing against their peers .",One rather complex area,is,"a mental disability ( the most popular current label is "" learning disability "" or LD )",Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,26,70,text_acad_2000.txt
numeric_inversion,"Two futures are then imagined : one that envisions freedom and the other , toll-takers .",Two futures,are,that envisions freedom and the other,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,28,20,text_acad_2000.txt
numeric_inversion,Are they not clear impediments to efficient production ? <p> One would hope that the new commercities are merely additions to the world of schooling .,One would hope that the new commercities,are,the world of schooling,Numeric Expression,False,medium,"Subject starts with determiner; Likely a question, not inversion; Common inversion verb",28,25,text_acad_2000.txt
coordinated_inversion,"On the Value of Academic Freedom for the Village around the Marketplace <p> "" Free "" connotes both what is given away and what is developed in freedom .","On the Value of Academic Freedom for the Village around the Marketplace <p> "" Free "" connotes both what is given away and what",is,developed in freedom,Coordinated Structure,True,medium,Common inversion verb; Very long fronted constituent,28,60,text_acad_2000.txt
numeric_inversion,One must also envision a future when the core of academic knowledge is available so ubiquitously and at so little cost that the very idea of charging fees for access will be forgotten .,One must also envision a future when the core of academic knowledge,is,a of charging fees for access will be forgotten,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,28,107,text_acad_2000.txt
numeric_inversion,"One should not forget that much we now gloss as "" computers "" was developed and distributed "" freely . "" Many continue to find appealing situations where they can @ @ @ @ @ @ @ @ @ @ licensing fees .","One should not forget that much we now gloss as "" computers """,was,an @ @ @ @ @ @ @ @ @ @ licensing fees,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,28,108,text_acad_2000.txt
numeric_inversion,Diversity in America Eight Thousand Years Ago <p> Caucasoid however is not the same as Caucasian .,Eight Thousand Years Ago <p> Caucasoid however,is,the same as Caucasian,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,30,24,text_acad_2000.txt
numeric_inversion,"The question is , What happened to that earlier population ? ( n2 ) <p> One possibility is that gene flows from north Asia into the New World eventually resulted in more uniform physical features on both continents .",One possibility,is,a into the New World eventually resulted in more uniform physical features on both continents,Numeric Expression,False,medium,"Subject starts with determiner; Likely a question, not inversion; Common inversion verb; Subject much longer than fronted element",30,33,text_acad_2000.txt
numeric_inversion,"The Mystery of the First Americans <p> The peopling of the Americas is one of the most puzzling mysteries of archeology. ( n5 ) For fifty years , the textbook theory held that during the last Ice Age , around 12,000 years ago , hunters following herds of big game wandered across a land bridge that joined Asia and America , moving southward through ice-free corridors to warmer climates .",First Americans <p> The peopling of the Americas,is,a land bridge that joined Asia and America,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,30,49,text_acad_2000.txt
numeric_inversion,"First there is Luzia , the oldest human remains yet found in the Americas , discovered in Minas Gerais , Brazil , and dated at 11,500 years .",First there,is,an remains yet found in the Americas,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,30,55,text_acad_2000.txt
numeric_inversion,"In this scenario , some carriers went west into the Middle East and Europe while others went east into Asia where lineage X eventually disappeared except in the genes of an ancient population that eventually found its way to the Americas . <p> One thing is certain .",One thing,is,certain,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,30,81,text_acad_2000.txt
coordinated_inversion,In recent years court cases have begun to redefine and sharpen this @ @ @ @ @ @ @ @ @ @ One very lucrative advantage so far has been a 1987 Supreme Court decision that allows tribes to run gambling operations on reservation land regardless of the laws of the states in which the reservations are located .,In recent years court cases have begun to redefine and sharpen this @ @ @ @ @ @ @ @ @ @ One very lucrative advantage so far has been a 1987 Supreme Court decision that allows tribes to,run,less of the laws of the states in which the reservations are located,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,30,177,text_acad_2000.txt
numeric_inversion,One measure of this indifference is the increasing amount of @ @ @ @ @ @ @ @ @ @ in Sacramento .,One measure of this indifference,is,the increasing amount of @ @ @ @ @ @ @ @ @ @ in Sacramento,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,30,182,text_acad_2000.txt
complex_pp_inversion,"From there it passed to sociology where it was used -- most influentially , perhaps , by Max Weber -- to designate all the things that people individually and in their various social groupings care about in some reasonably stable way .",From there it passed to sociology where it,was,that people individually and in their various social groupings care about in some reasonably stable way,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,31,7,text_acad_2000.txt
numeric_inversion,One of these was the black civil-rights movement and the @ @ @ @ @ @ @ @ @ @ the generalized consumerism it brought into being .,One of these,was,the black civil-rights movement and the @ @ @ @ @ @ @ @ @ @ the generalized consumerism it brought into being,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,31,51,text_acad_2000.txt
complex_pp_inversion,"Admittedly , it is not very clear who this "" all "" would comprise since everyone would have been shut up in his or her own ethnicity and would not @ @ @ @ @ @ @ @ @ @ others . <p> In the background of the solicitude that is felt for "" minority cultures , "" there is a quite definite political parti pris .",In the background of the solicitude that,is,a quite definite political parti pris,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,31,74,text_acad_2000.txt
numeric_inversion,One suspects that this last may be because their claim is at least implicitly universal and genuinely normative in character .,One suspects that this last may be because their claim,is,at least implicitly universal and genuinely normative in character,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,31,91,text_acad_2000.txt
complex_pp_inversion,In my case Ravelstein 's opinion was that distinctiveness of observation had gone much further than it should and was being cultivated for its own strange sake .,In my case Ravelstein 's opinion was that distinctiveness of observation had gone much further than it should and,was,its own strange sake,PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,32,48,text_acad_2000.txt
coordinated_inversion,"At the same time -- and here the novel 's major sociographic and narrative complexities arise -- we follow Marlow himself through a second series of communities , one that emerges through and around his attempt to tell Jim 's story .",At the same time -- and here the novel 's major sociographic and narrative complexities arise -- we,follow,a second series of communities,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,33,60,text_acad_2000.txt
numeric_inversion,"One route to an answer begins by remembering where Jim is living at the time Marlow tells his story : among nonwhites , deep in the heart of their country .",One route to an answer begins by remembering where Jim,is,his story,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,33,199,text_acad_2000.txt
complex_pp_inversion,"To say that Jim is part of Marlow 's "" right sort "" is to say nothing about him at all , nothing but that towards him Marlow feels a certain kinship .",To say that Jim,is,a certain kinship,PP (Complex Prepositional Phrase),False,high,Subject starts with determiner; Common inversion verb,33,245,text_acad_2000.txt
coordinated_inversion,"We come then to the novel 's last involution of narrative form , and , because Marlow 's friendship with his correspondent stands in a direct line of succession with parish and ship and service and veranda , we come also to its last form of community . <p> To designate the friendship between Marlow and his correspondent as a community is to recognize yet another variation on the themes of amorphousness , attenuation , @ @ @ @ @ @ @ @ @ @ In terms of the last of these , this relationship of private individuals , contained within no institutional or economic framework , no larger context whatsoever , stands at the furthest possible remove from systems of authority and subordination .",To designate the friendship between Marlow and his correspondent as a community,is,this relationship of private individuals,Coordinated Structure,True,high,Subject starts with determiner; Common inversion verb,33,357,text_acad_2000.txt
coordinated_inversion,"To reveal art and conceal the artist is art 's aim . -- Oscar Wilde <p> <p> A REMARKABLE feature of Walter Pater 's writings , one often cited as the leitmotif of his life and art , is their sadness .",To reveal art and conceal the artist,is,one often cited as the leitmotif of his life and art,Coordinated Structure,False,high,Subject starts with determiner; Common inversion verb,34,0,text_acad_2000.txt
complex_pp_inversion,"In spite of the redemptive sense of his writing -- that is , his belief that writing justifies and fulfills our experiences of art and reality -- an opacity surrounds Pater and his subjects , which also involves our own contribution as readers .",In spite of the redemptive sense of his writing -- that,is,that writing justifies and fulfills our experiences of art and reality -- an opacity surrounds Pater and his subjects,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,34,12,text_acad_2000.txt
numeric_inversion,"One or the other of us has to go "" ) are temporarily overcome as the fatal signals of an all-too-dangerously lifeless receptivity .","One or the other of us has to go "" )",are,less receptivity,Numeric Expression,False,medium,Subject starts with determiner; Quoted text spans front and subject - likely not inversion; Common inversion verb,34,61,text_acad_2000.txt
complex_pp_inversion,In that sense she is not a dramatic novelist .,In that sense she,is,a dramatic novelist,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,36,39,text_acad_2000.txt
complex_pp_inversion,"The effect of religious @ @ @ @ @ @ @ @ @ @ ) seems still to be , a heavy trend to the Bight . <p> From the conversations she had in Ireland she derived an analysis which is recognizable , subtle and fair-minded .",From the conversations she had in Ireland she derived an analysis which,is,recognizable,PP (Complex Prepositional Phrase),True,medium,Common inversion verb,36,120,text_acad_2000.txt
numeric_inversion,"One way to put the difference is this : Ferry 's horses , hairy and unyoked , retain their naturalness , their naivete .",One way to put the difference,is,their naturalness,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,37,46,text_acad_2000.txt
complex_pp_inversion,The demonstration would prove irrefutably that Astaire ( to appropriate Robin Wood 's phrase about Hitchcock ) should be taken seriously . <p> In the paragraphs that follow I will to try to recreate the case I eventually made .,In the paragraphs that,follow,the case I eventually made,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,38,43,text_acad_2000.txt
numeric_inversion,"One of the stories always told about Fred Astaire is how meticulous a craftsman he was -- how much he insisted upon practicing a routine over and over again , @ @ @ @ @ @ @ @ @ @ essence ( "" Get it as perfect as you can , then cut two minutes "" ) , much the way Hitchcock did in preparing detailed storyboards for his films .",One of the stories always told about Fred Astaire,is,a craftsman he was -- how much he insisted upon practicing a routine over and over again,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,38,137,text_acad_2000.txt
coordinated_inversion,"But there is no reason to interpret the entry , for all its offhand whimsy , as anything less than a sincere , impassioned profession of interest in the "" speech , rhythm and exact beat "" of the remotest of strangers . <p> To look and to listen with such sustained attention is an endorsement of the world beneath her immediate gaze .",To look and to listen with such sustained attention,is,her immediate gaze,Coordinated Structure,False,high,Subject starts with determiner; Common inversion verb,39,28,text_acad_2000.txt
numeric_inversion,One usually gets the sense from her novels that her characters just might become a little better than they first appear to be .,One usually gets the sense from her novels that her characters just might become a little better than they first,appear,to be,Numeric Expression,False,medium,Common inversion verb; Very long fronted constituent,39,54,text_acad_2000.txt
numeric_inversion,"Eventually , he devoted himself primarily to Ballet Society , the company that he and Kirstein founded in 1946 , which evolved into the New York City Ballet . <p> The Four Temperaments was premiered at a Ballet Society subscription concert in November 1946 at the Central High School of Needle Trades in New York .",Four Temperaments,was,a Ballet Society subscription concert in November 1946 at the Central High School of Needle Trades in New York,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,41,17,text_acad_2000.txt
numeric_inversion,"In fact , the technical procedure of both ballets is that novel aspects of classic ballet technique -- aspects apparently contrary to those one is accustomed to -- are emphasized without ever breaking the classic look of dance continuity . <p> The Four Temperaments was a major turning point in modern ballet .",Four Temperaments,was,a major turning point in modern ballet,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,41,23,text_acad_2000.txt
